Age;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
124;4.409;4.845;5.12;5.271;5.514;5.684;5.944;6.462;7.025;7.348;7.575;7.924;8.16;8.624;9.482
125;4.422;4.859;5.134;5.286;5.529;5.699;5.96;6.479;7.043;7.367;7.594;7.944;8.18;8.646;9.506
126;4.434;4.872;5.148;5.3;5.543;5.714;5.975;6.496;7.062;7.386;7.613;7.964;8.201;8.667;9.53
127;4.447;4.886;5.162;5.314;5.558;5.729;5.991;6.512;7.079;7.404;7.633;7.984;8.221;8.689;9.554
128;4.459;4.899;5.175;5.328;5.573;5.744;6.006;6.529;7.097;7.423;7.652;8.004;8.242;8.711;9.578
129;4.471;4.912;5.189;5.342;5.587;5.759;6.022;6.545;7.115;7.441;7.67;8.024;8.262;8.732;9.601
130;4.484;4.925;5.203;5.356;5.601;5.773;6.037;6.562;7.132;7.459;7.689;8.043;8.282;8.753;9.625
131;4.496;4.938;5.216;5.37;5.616;5.788;6.052;6.578;7.15;7.477;7.708;8.063;8.302;8.774;9.648
132;4.508;4.951;5.23;5.384;5.63;5.802;6.067;6.594;7.167;7.496;7.727;8.082;8.322;8.795;9.671
133;4.52;4.964;5.243;5.397;5.644;5.817;6.082;6.61;7.184;7.513;7.745;8.102;8.342;8.816;9.694
134;4.532;4.976;5.256;5.411;5.658;5.831;6.097;6.626;7.202;7.531;7.763;8.121;8.362;8.837;9.717
135;4.544;4.989;5.269;5.424;5.672;5.845;6.112;6.642;7.218;7.549;7.781;8.14;8.381;8.858;9.74
136;4.555;5.002;5.282;5.438;5.686;5.86;6.126;6.657;7.235;7.566;7.8;8.158;8.401;8.878;9.763
137;4.567;5.014;5.295;5.451;5.699;5.874;6.141;6.673;7.252;7.584;7.818;8.177;8.42;8.899;9.785
138;4.579;5.026;5.308;5.464;5.713;5.888;6.155;6.688;7.269;7.601;7.835;8.196;8.439;8.919;9.807
139;4.59;5.039;5.321;5.477;5.727;5.902;6.17;6.704;7.286;7.619;7.853;8.215;8.458;8.939;9.83
140;4.602;5.051;5.334;5.49;5.74;5.915;6.184;6.719;7.302;7.636;7.871;8.233;8.477;8.959;9.852
141;4.613;5.063;5.346;5.503;5.753;5.929;6.198;6.734;7.318;7.653;7.888;8.251;8.496;8.979;9.874
142;4.624;5.075;5.359;5.516;5.767;5.943;6.212;6.75;7.335;7.67;7.906;8.269;8.515;8.999;9.896
143;4.636;5.087;5.372;5.529;5.78;5.956;6.227;6.765;7.351;7.687;7.923;8.288;8.533;9.019;9.917
144;4.647;5.099;5.384;5.541;5.793;5.97;6.24;6.78;7.367;7.703;7.94;8.306;8.552;9.038;9.939
145;4.658;5.111;5.396;5.554;5.806;5.983;6.254;6.794;7.383;7.72;7.958;8.324;8.571;9.058;9.961
146;4.669;5.123;5.409;5.567;5.819;5.996;6.268;6.809;7.399;7.737;7.975;8.341;8.589;9.077;9.982
147;4.68;5.135;5.421;5.579;5.832;6.009;6.282;6.824;7.415;7.753;7.992;8.359;8.607;9.096;10.003
148;4.691;5.146;5.433;5.591;5.845;6.023;6.295;6.838;7.43;7.77;8.008;8.377;8.625;9.115;10.024
149;4.701;5.158;5.445;5.604;5.858;6.036;6.309;6.853;7.446;7.786;8.025;8.394;8.643;9.134;10.046
150;4.712;5.169;5.457;5.616;5.87;6.049;6.322;6.867;7.461;7.802;8.042;8.412;8.661;9.153;10.067
151;4.723;5.181;5.469;5.628;5.883;6.061;6.336;6.882;7.477;7.818;8.058;8.429;8.679;9.172;10.087
152;4.734;5.192;5.481;5.64;5.895;6.074;6.349;6.896;7.492;7.834;8.075;8.446;8.697;9.191;10.108
153;4.744;5.203;5.492;5.652;5.908;6.087;6.362;6.91;7.507;7.85;8.091;8.463;8.714;9.21;10.129
154;4.755;5.214;5.504;5.664;5.92;6.1;6.375;6.924;7.523;7.866;8.107;8.48;8.732;9.228;10.149
155;4.765;5.226;5.516;5.676;5.932;6.112;6.388;6.938;7.538;7.882;8.124;8.497;8.749;9.247;10.17
156;4.775;5.237;5.527;5.688;5.945;6.125;6.401;6.952;7.553;7.897;8.14;8.514;8.766;9.265;10.19
157;4.786;5.248;5.539;5.699;5.957;6.137;6.414;6.966;7.568;7.913;8.156;8.531;8.784;9.283;10.21
158;4.796;5.259;5.55;5.711;5.969;6.15;6.427;6.98;7.582;7.928;8.172;8.547;8.801;9.301;10.23
159;4.806;5.27;5.561;5.723;5.981;6.162;6.44;6.993;7.597;7.944;8.188;8.564;8.818;9.32;10.25
160;4.816;5.28;5.573;5.734;5.993;6.174;6.452;7.007;7.612;7.959;8.203;8.58;8.835;9.337;10.27
161;4.826;5.291;5.584;5.746;6.005;6.186;6.465;7.021;7.626;7.974;8.219;8.597;8.852;9.355;10.29
162;4.836;5.302;5.595;5.757;6.016;6.198;6.478;7.034;7.641;7.989;8.235;8.613;8.869;9.373;10.31
163;4.846;5.312;5.606;5.768;6.028;6.21;6.49;7.047;7.656;8.004;8.25;8.629;8.885;9.391;10.329
164;4.856;5.323;5.617;5.78;6.04;6.222;6.502;7.061;7.67;8.019;8.266;8.645;8.902;9.409;10.349
165;4.866;5.334;5.628;5.791;6.051;6.234;6.515;7.074;7.684;8.034;8.281;8.662;8.919;9.426;10.368
166;4.876;5.344;5.639;5.802;6.063;6.246;6.527;7.087;7.698;8.049;8.296;8.678;8.935;9.444;10.388
167;4.885;5.354;5.65;5.813;6.074;6.258;6.539;7.1;7.713;8.064;8.312;8.694;8.951;9.461;10.407
168;4.895;5.365;5.661;5.824;6.086;6.269;6.551;7.113;7.727;8.079;8.327;8.709;8.968;9.478;10.426
169;4.905;5.375;5.671;5.835;6.097;6.281;6.563;7.126;7.741;8.093;8.342;8.725;8.984;9.495;10.445
170;4.914;5.385;5.682;5.846;6.109;6.293;6.576;7.139;7.755;8.108;8.357;8.741;9;9.513;10.465
171;4.924;5.395;5.692;5.857;6.12;6.304;6.587;7.152;7.769;8.122;8.372;8.756;9.016;9.53;10.484
172;4.933;5.406;5.703;5.868;6.131;6.316;6.599;7.165;7.782;8.137;8.387;8.772;9.032;9.547;10.502
173;4.943;5.416;5.714;5.878;6.142;6.327;6.611;7.178;7.796;8.151;8.401;8.787;9.048;9.564;10.521
174;4.952;5.426;5.724;5.889;6.153;6.338;6.623;7.19;7.81;8.165;8.416;8.803;9.064;9.58;10.54
175;4.961;5.436;5.734;5.9;6.164;6.35;6.635;7.203;7.823;8.18;8.431;8.818;9.08;9.597;10.559
176;4.971;5.446;5.745;5.91;6.175;6.361;6.646;7.215;7.837;8.194;8.445;8.833;9.096;9.614;10.577
177;4.98;5.455;5.755;5.921;6.186;6.372;6.658;7.228;7.85;8.208;8.46;8.849;9.111;9.631;10.596
178;4.989;5.465;5.765;5.931;6.197;6.383;6.669;7.24;7.864;8.222;8.474;8.864;9.127;9.647;10.614
